generic_name,GEO_ID,myCount
LISINOPRIL,0500000US39073,192
LISINOPRIL,0500000US13023,56
LISINOPRIL,0500000US20157,52
LISINOPRIL,0500000US25023,2171
LISINOPRIL,0500000US24021,968
LISINOPRIL,0500000US36091,1045
LISINOPRIL,0500000US29021,564
LISINOPRIL,0500000US29003,97
LISINOPRIL,0500000US08085,357
LISINOPRIL,0500000US39171,176
LISINOPRIL,0500000US17103,245
LISINOPRIL,0500000US17141,343
LISINOPRIL,0500000US51107,971
LISINOPRIL,0500000US01071,230
LISINOPRIL,0500000US21199,382
LISINOPRIL,0500000US47119,552
LISINOPRIL,0500000US12117,2093
LISINOPRIL,0500000US48053,272
LISINOPRIL,0500000US36123,170
LISINOPRIL,0500000US27061,390
LISINOPRIL,0500000US27021,173
LISINOPRIL,0500000US29097,619
LISINOPRIL,0500000US54053,106
LISINOPRIL,0500000US55041,42
LISINOPRIL,0500000US31067,97
LISINOPRIL,0500000US51750,39
LISINOPRIL,0500000US50005,190
LISINOPRIL,0500000US29047,1278
LISINOPRIL,0500000US53015,629
LISINOPRIL,0500000US53069,29
LISINOPRIL,0500000US06115,267
LISINOPRIL,0500000US48329,451
LISINOPRIL,0500000US37081,3050
LISINOPRIL,0500000US31041,80
LISINOPRIL,0500000US36083,722
LISINOPRIL,0500000US01069,799
LISINOPRIL,0500000US17005,150
LISINOPRIL,0500000US31149,24
LISINOPRIL,0500000US22045,312
LISINOPRIL,0500000US27139,350
LISINOPRIL,0500000US27133,55
LISINOPRIL,0500000US48245,1369
LISINOPRIL,0500000US05045,521
LISINOPRIL,0500000US48037,688
LISINOPRIL,0500000US37047,342
LISINOPRIL,0500000US19015,98
LISINOPRIL,0500000US02090,373
LISINOPRIL,0500000US13063,839
LISINOPRIL,0500000US50023,537
